oktmo,district_id
45000000,1
46000000,1
14000000,1
15000000,1
17000000,1
20000000,1
24000000,1
29000000,1
34000000,1
38000000,1
42000000,1
54000000,1
61000000,1
66000000,1
68000000,1
28000000,1
70000000,1
78000000,1
40000000,2
41000000,2
11000000,2
19000000,2
27000000,2
86000000,2
87000000,2
47000000,2
49000000,2
58000000,2
11800000,2
3000000,3
18000000,3
60000000,3
35000000,3
67000000,3
79000000,3
85000000,3
12000000,3
90,3
95,3
7000000,4
82000000,4
83000000,4
91000000,4
90000000,4
96000000,4
26000000,4
80000000,5
92000000,5
36000000,5
22000000,5
56000000,5
63000000,5
94000000,5
88000000,5
89000000,5
97000000,5
73000000,5
53000000,5
33000000,5
57000000,5
65000000,6
75000000,6
71000000,6
71800000,6
71900000,6
37000000,6
4000000,7
1000000,7
50000000,7
32000000,7
52000000,7
69000000,7
84000000,7
93000000,7
95000000,7
25000000,7
76000000,7
81000000,7
5000000,8
8000000,8
98000000,8
64000000,8
10000000,8
30000000,8
44000000,8
99000000,8
77000000,8
93,1
94,5
