stats_id,month_date,region_id,obj_cnt,total_area,living_area,parking_cnt
151,2021-03-01,62,7,32400,24100,0
152,2021-03-01,77,1,4200,3700,0
153,2021-03-01,5,9,153900,107800,0
154,2021-03-01,65,2,10900,7500,0
155,2021-03-01,13,19,207000,141100,125
156,2021-03-01,67,5,42700,30300,0
157,2021-03-01,52,1,32300,20600,0
158,2021-03-01,22,2,20800,14800,0
159,2021-03-01,80,2,23400,16600,0
160,2021-03-01,79,2,2200,1700,0
161,2021-03-01,61,1,14600,10700,0
162,2021-03-01,12,4,79100,54700,98
163,2021-03-01,40,7,34800,25200,12
164,2021-03-01,45,3,28400,20900,10
165,2021-03-01,25,1,10800,6500,0
166,2021-03-01,2,25,1156100,620000,2972
167,2021-03-01,84,1,1700,1300,0
168,2021-03-01,18,5,59700,40400,27
169,2021-03-01,51,6,3500,1600,0
170,2021-03-01,50,2,20700,14100,0
171,2021-03-01,16,12,82600,53000,55
172,2021-03-01,23,4,47700,29800,87
173,2021-03-01,74,1,4300,3000,0
174,2021-03-01,39,8,76100,47500,1
175,2021-03-01,21,8,136500,92000,0
176,2021-03-01,48,6,43300,30000,0
177,2021-03-01,6,18,72500,48500,0
178,2021-03-01,72,1,9100,9100,0
179,2021-03-01,17,13,254600,159400,139
180,2021-03-01,15,8,187100,138800,0
181,2021-03-01,9,31,257300,160600,89
182,2021-03-01,33,15,169200,117200,30
183,2021-03-01,11,17,138500,101000,184
184,2021-03-01,14,5,58100,37900,0
185,2021-03-01,31,3,10100,7000,0
186,2021-03-01,69,1,10700,8700,0
187,2021-03-01,60,8,49700,32900,0
188,2021-03-01,20,10,169400,101300,0
189,2021-03-01,41,3,17800,14000,0
190,2021-03-01,54,3,22200,16800,0
191,2021-03-01,76,1,2500,1900,0
192,2021-03-01,53,9,84200,58600,8
193,2021-03-01,28,7,154900,82500,0
194,2021-03-01,44,8,103000,38400,194
195,2021-03-01,4,34,393200,253300,597
196,2021-03-01,26,15,82700,61500,0
197,2021-03-01,8,22,273200,161300,651
198,2021-03-01,42,6,56000,39000,12
199,2021-03-01,71,4,42200,24500,0
200,2021-03-01,37,2,17900,11000,0
201,2021-03-01,58,12,62600,44400,0
202,2021-03-01,30,11,78700,51100,230
203,2021-03-01,7,26,520700,340400,553
204,2021-03-01,32,4,73200,43000,0
205,2021-03-01,49,6,50700,34900,34
206,2021-03-01,19,9,190400,127000,129
207,2021-03-01,35,6,102100,59700,27
