region_code,region_name,year,quarter,buildings_count,apartments_count,total_living_area
42,Кемеровская область - Кузбасс,2026,1,3,915,39413
43,Кировская область,2026,1,16,1856,102984
44,Костромская область,2026,1,9,449,23962
45,Курганская область,2026,1,5,720,33316
46,Курская область,2026,1,29,547,31472
47,Ленинградская область,2026,1,151,18288,761630
48,Липецкая область,2026,1,25,889,45238
50,Московская область,2026,1,65,17479,791695
52,Нижегородская область,2026,1,9,2310,123972
53,Новгородская область,2026,1,3,166,7753
54,Новосибирская область,2026,1,26,6228,334571
55,Омская область,2026,1,10,2817,132577
56,Оренбургская область,2026,1,20,2565,134168
57,Орловская область,2026,1,2,405,20340
58,Пензенская область,2026,1,8,2564,118651
59,Пермский край,2026,1,15,2930,144075
60,Псковская область,2026,1,4,644,29878
61,Ростовская область,2026,1,32,7977,382823
62,Рязанская область,2026,1,6,2036,82884
63,Самарская область,2026,1,6,877,52821
64,Саратовская область,2026,1,7,488,24830
66,Свердловская область,2026,1,26,10275,492478
67,Смоленская область,2026,1,6,774,42783
68,Тамбовская область,2026,1,15,776,38226
69,Тверская область,2026,1,5,567,28227
70,Томская область,2026,1,5,1374,61070
71,Тульская область,2026,1,18,3473,160709
72,Тюменская область,2026,1,22,4847,257256
73,Ульяновская область,2026,1,13,2698,126001
74,Челябинская область,2026,1,13,1604,79758
75,Забайкальский край,2026,1,5,562,29304
76,Ярославская область,2026,1,18,1478,78477
77,Город Москва,2026,1,33,12230,761080
78,Город Санкт-Петербург,2026,1,20,10028,427845
79,Еврейская АО,2026,1,1,84,4475
86,Ханты-Мансийский АО - Югра,2026,1,3,430,17016
87,Чукотский АО,2026,1,0,,
89,Ямало-Ненецкий АО,2026,1,37,311,18491
91,Республика Крым,2026,1,17,2812,143238
92,Город Севастополь,2026,1,8,777,40942
93,Донецкая Народная Республика,2026,1,17,4053,178453
94,Луганская Народная Республика,2026,1,39,4780,225578
95,Херсонская область,2026,1,6,1080,42805
1,Республика Адыгея,2025,4,43,9816,426884
2,Республика Башкортостан,2025,4,60,7656,347980
3,Республика Бурятия,2025,4,8,1306,63278
4,Республика Алтай,2025,4,12,1206,55763
5,Республика Дагестан,2025,4,15,1455,76628
6,Республика Ингушетия,2025,4,6,652,50983
7,Кабардино-Балкарская Республика,2025,4,23,4017,217488
8,Республика Калмыкия,2025,4,1,35,2162
9,Карачаево-Черкесская Республика,2025,4,2,102,6452
10,Республика Карелия,2025,4,13,1539,79782
11,Республика Коми,2025,4,2,676,33636
12,Республика Марий Эл,2025,4,9,924,51174
13,Республика Мордовия,2025,4,8,1133,58702
14,Республика Саха (Якутия),2025,4,8,953,48945
15,Республика Северная Осетия,2025,4,9,1548,95684
16,Республика Татарстан,2025,4,19,5145,247602
17,Республика Тыва,2025,4,0,,
18,Удмуртская Республика,2025,4,18,3735,173960
19,Республика Хакасия,2025,4,3,661,29789
20,Чеченская Республика,2025,4,37,6188,383649
21,Чувашская Республика,2025,4,14,2042,110121
22,Алтайский край,2025,4,15,2022,101839
23,Краснодарский край,2025,4,77,19567,876202
24,Красноярский край,2025,4,15,3147,163978
25,Приморский край,2025,4,23,2911,134916
26,Ставропольский край,2025,4,25,3654,194666
27,Хабаровский край,2025,4,6,806,35797
28,Амурская область,2025,4,4,550,27210
29,Архангельская область,2025,4,16,2076,112966
30,Астраханская область,2025,4,11,3183,147027
31,Белгородская область,2025,4,12,694,36041
32,Брянская область,2025,4,24,1394,67627
33,Владимирская область,2025,4,6,789,44747
34,Волгоградская область,2025,4,33,3893,171196
35,Вологодская область,2025,4,15,1232,72374
36,Воронежская область,2025,4,16,2898,148121
37,Ивановская область,2025,4,6,744,43305
38,Иркутская область,2025,4,13,2349,104506
39,Калининградская область,2025,4,40,3856,179809
40,Калужская область,2025,4,20,3622,184209
41,Камчатский край,2025,4,1,198,8564
42,Кемеровская область - Кузбасс,2025,4,10,1307,65536
43,Кировская область,2025,4,17,2407,113364
44,Костромская область,2025,4,10,849,44168
45,Курганская область,2025,4,9,1158,60165
46,Курская область,2025,4,9,740,36326
47,Ленинградская область,2025,4,28,6669,276217
48,Липецкая область,2025,4,25,2781,127892
50,Московская область,2025,4,73,15707,744519
51,Мурманская область,2025,4,3,547,29181
52,Нижегородская область,2025,4,25,4846,242334
53,Новгородская область,2025,4,10,1284,62204
54,Новосибирская область,2025,4,37,6783,338170
