month_dt,region_desc,obj_cnt,total_area,living_area,elem_1k_cnt,elem_2k_cnt,elem_3k_cnt,elem_4k_cnt,elem_parking_cnt
2021-02-01,Хабаровский край,5,14800,10600,139,105,11,0,0
2021-02-01,Мордовия Республика,4,42200,24500,248,152,64,0,0
2021-02-01,Дагестан Республика,1,14600,10700,93,66,3,6,0
2021-02-01,Сахалинская область,4,18600,14600,62,122,46,0,0
2021-02-01,Забайкальский край,1,9100,9100,120,48,0,0,0
2021-02-01,Псковская область,6,50900,35200,466,139,102,10,8
2021-02-01,Орловская область,3,33700,23400,186,141,99,0,0
2021-02-01,Ханты-Мансийский АО - Югра,6,50800,32900,268,232,83,7,1
2021-02-01,Челябинская область,4,48400,33000,263,188,105,14,27
2021-02-01,Хакасия Республика,3,23200,17900,168,141,41,0,0
2021-02-01,Башкортостан Республика,8,147300,103400,1383,572,280,0,0
2021-02-01,Ивановская область,3,22200,16800,173,125,27,0,0
2021-02-01,Калининградская область,11,72700,47900,550,314,115,1,55
2021-02-01,Адыгея Республика,2,20700,14100,260,106,0,0,0
2021-02-01,Чеченская Республика,1,10700,8700,60,60,0,0,0
2021-02-01,Белгородская область,2,10900,7500,87,36,13,3,0
2021-02-01,Коми Республика,2,34400,20500,311,105,80,0,0
2021-02-01,Нижегородская область,3,23000,16900,210,86,47,17,0
2021-02-01,Севастополь город,4,27500,19800,199,176,29,0,0
2021-02-01,Тверская область,3,27100,20300,142,149,64,0,0
2021-02-01,Ярославская область,2,5900,4300,20,47,9,0,0
2021-02-01,Саратовская область,8,110600,67800,768,618,111,0,0
2021-02-01,Алтайский край,7,119500,81300,482,421,403,80,0
2021-02-01,Липецкая область,3,48800,36400,299,237,110,0,0
2021-02-01,Новгородская область,1,4300,3000,32,24,8,0,0
2021-02-01,Смоленская область,2,8700,6700,57,62,10,0,0
2021-02-01,Ростовская область,25,225100,145300,1440,878,447,9,88
2021-02-01,Воронежская область,8,187100,138800,1277,771,509,1,0
2021-02-01,Московская область,31,598500,383900,4572,3564,615,58,554
2021-02-01,Тюменская область,16,163900,113200,1501,718,165,18,125
2021-02-01,Ставропольский край,5,88400,58300,747,370,112,0,28
2021-02-01,Красноярский край,5,62300,40700,302,339,141,18,0
2021-02-01,Удмуртская Республика,10,134000,84100,708,697,275,0,105
2021-02-01,Москва город,5,182200,102100,1440,297,246,20,617
2021-02-01,Омская область,1,32300,20600,412,41,0,0,0
2021-02-01,Краснодарский край,23,227600,142000,2028,920,167,16,391
2021-02-01,Санкт-Петербург город,15,703100,363400,5081,1953,710,57,1416
2021-02-01,Волгоградская область,11,78700,51100,629,152,113,0,230
2021-02-01,Ненецкий Автономный округ,2,23400,16600,63,148,131,0,0
2021-03-01,Орловская область,3,33700,23400,186,141,99,0,0
